Sample,X,Y,Z
482,0.9312,-0.1187,0.1721
483,0.9243,0.0190,-0.0669
484,1.0037,-0.0488,0.0430
485,1.0718,0.0017,-0.0613
486,0.9695,0.0300,-0.0708
487,1.0239,0.0144,0.0708
488,1.0737,-0.0464,-0.0093
489,1.0007,-0.0015,-0.0625
490,1.0222,0.0076,0.0430
491,1.1128,-0.0222,0.1389
492,0.9478,0.0872,-0.0979
493,1.0010,-0.0991,0.1353
494,1.0798,0.0107,0.0234
495,0.9272,0.0415,0.0986
496,1.0044,-0.0984,0.0532
497,1.0444,-0.0056,-0.0735
498,1.0212,0.0256,-0.0286
499,1.0134,-0.0571,0.1060
500,1.0103,0.1267,-0.1594
501,1.0171,-0.1431,0.0129
502,1.0642,0.0698,0.1472
503,1.0183,0.0576,-0.0640
504,1.0571,-0.1792,0.2144
505,1.1118,0.1167,0.0708
506,0.8882,-0.0283,-0.0359
507,1.0874,-0.0291,0.0991
508,1.0073,0.0391,0.0051
509,0.8987,-0.0813,0.0422
510,1.1323,0.1345,0.0239
511,0.8940,-0.0522,0.0640
512,0.8679,-0.0676,-0.0261
513,1.1196,-0.0571,-0.0569
514,1.0422,0.0818,0.0203
515,1.0242,-0.0422,0.1360
516,1.0574,-0.0557,-0.0842
517,1.0239,-0.0500,0.0000
518,1.0376,0.0203,-0.0056
519,1.0837,0.0193,-0.0605
520,1.0281,0.0720,0.0117
521,0.9390,-0.1304,0.0200
522,1.1196,0.0576,-0.0156
523,1.0356,-0.0049,0.0688
524,0.9304,-0.0242,0.0349
525,1.0190,-0.0022,-0.0798
526,0.9995,-0.0291,-0.0103
527,1.0085,0.0239,-0.0466
528,1.0984,-0.0698,-0.0398
529,1.1040,0.0908,0.1108
530,0.9224,0.0063,-0.0403
531,1.1169,-0.1367,0.0852
532,1.1199,0.1321,0.0547
533,0.8337,-0.1162,0.0298
534,1.1414,0.0327,0.0310
535,1.0171,0.0168,0.0737
536,0.8823,-0.0525,-0.0183
537,1.1567,0.1062,-0.0330
538,1.0425,0.0166,0.0479
539,0.8811,-0.1123,-0.0244
540,1.0757,0.0161,0.0417
541,1.0535,-0.0364,-0.0615
542,1.0454,-0.0549,-0.0691
543,1.1326,0.1492,0.0081
544,0.9968,-0.0950,0.0977
545,0.9919,-0.0208,-0.0483
546,1.1401,-0.0317,0.0134
547,0.9861,0.0728,0.0437
548,1.0027,-0.0405,0.0381
549,1.0125,-0.0337,-0.0088
550,0.9568,0.0203,-0.0618
551,1.0063,0.0500,0.0610
552,1.0562,0.0198,-0.0168
553,0.8931,0.0066,-0.0156
554,1.0913,-0.1638,0.1213
555,1.1228,0.1167,-0.0144
556,0.9978,-0.0818,-0.0264
557,1.0857,0.0144,0.1160
558,1.0698,0.0005,-0.0203
559,0.9233,0.0137,0.0605
560,1.1333,-0.0186,-0.0251
561,0.9773,0.0073,-0.0369
562,0.9871,-0.0498,0.0105
563,0.9780,0.0593,0.0562
564,1.0034,-0.0217,-0.0176
565,0.9539,-0.0425,0.0959
566,1.0386,-0.0178,-0.0530
567,1.0574,-0.0383,0.0400
568,1.0620,-0.0044,0.0947
569,0.9968,0.0291,0.0051
570,1.0388,-0.0210,0.0251
571,1.0386,0.0247,-0.0500
572,1.0386,-0.1216,0.0281
573,1.1792,0.0608,0.0269
574,0.9839,0.0339,0.0520
575,0.9468,-0.0188,-0.0193
576,1.0042,-0.0503,0.0261
577,0.9409,-0.0071,0.0151
578,1.0259,-0.0315,-0.0674
579,1.0132,0.0645,-0.0190
580,0.9617,-0.0569,0.0286
581,1.0056,-0.0520,-0.0405
582,1.1238,0.0422,-0.0129
583,0.9763,-0.0178,0.1511
584,0.9841,-0.0396,-0.0801
585,1.0486,-0.0259,-0.0234
586,1.0183,-0.0242,-0.0398
587,1.0144,-0.0020,-0.0298
588,1.0239,0.0823,-0.0273
589,0.9692,-0.1509,0.0210
590,0.9910,0.0886,-0.1543
591,1.0251,-0.0100,0.0400
592,0.9741,0.0408,0.0007
593,1.0317,-0.1033,-0.0471
594,0.9702,0.0427,-0.0579
595,1.0789,-0.1418,0.0693
596,1.0679,0.1516,-0.0818
597,0.9968,-0.0654,-0.0337
598,0.9595,-0.0122,0.0625
599,1.1157,-0.0444,-0.0598
600,0.9348,0.0718,-0.0671
601,1.0505,-0.0632,0.0793
602,1.0417,0.0488,0.1028
603,0.9265,-0.0090,-0.0425
604,0.9548,-0.0276,0.0898
605,1.0713,-0.0327,-0.0042
606,0.9304,0.0291,0.0088
607,1.0210,-0.0388,-0.0701
608,1.1006,0.0276,0.0762
609,0.9473,0.0549,-0.1389
610,1.0330,-0.1658,0.1121
611,1.1196,0.1250,-0.0188
612,0.9175,-0.0857,-0.0164
