Sample,X,Y,Z
722,1.1179,-0.1687,0.0994
723,1.0132,0.0183,0.0352
724,1.0105,-0.0515,-0.1548
725,1.1304,0.1812,0.0339
726,0.9177,-0.3401,0.0803
727,1.0828,0.1731,-0.0840
728,1.0269,-0.1316,0.1609
729,1.0916,0.1528,-0.0200
730,0.9343,-0.1057,-0.0957
731,0.9634,0.0605,0.0999
732,0.9431,-0.0518,-0.0994
733,1.0740,0.0652,-0.0818
734,0.9949,-0.0679,0.1143
735,1.0229,-0.0015,-0.0991
736,1.0483,-0.0708,-0.0317
737,1.0457,0.1003,0.1003
738,0.9470,-0.0879,0.0100
739,1.1433,0.0798,0.0022
740,0.8394,0.0017,-0.0996
741,1.0996,-0.0586,0.1284
742,1.0669,0.0442,0.0178
743,0.9526,0.0620,-0.1177
744,1.0483,-0.1428,0.1624
745,1.0493,0.1331,-0.1370
746,0.9272,-0.2896,0.0447
747,1.2253,0.1934,-0.0435
748,0.9233,-0.0942,-0.0830
749,1.0200,0.0017,0.0571
750,1.0056,0.0212,0.1436
751,0.9526,-0.1555,-0.1448
752,1.1597,0.0471,0.1035
753,1.0317,0.0608,0.0168
754,0.9697,-0.0757,-0.0127
755,1.0786,0.1233,0.0115
756,0.9050,-0.1770,-0.0308
757,1.1150,0.0952,-0.0557
758,1.0632,0.0859,0.0630
759,0.8608,-0.1414,-0.1006
760,1.0359,0.0308,0.0977
761,1.0691,-0.0002,-0.0867
762,0.9304,-0.0823,-0.0574
763,1.2017,0.1628,0.0642
764,0.8706,-0.1887,0.0671
765,1.0789,0.1165,-0.0908
766,0.9441,-0.0835,0.1619
767,1.0642,0.0479,-0.0488
768,0.9556,0.0012,-0.0032
769,1.0457,-0.0007,0.0488
770,0.9607,-0.0461,0.0398
771,1.0115,0.0781,-0.1421
772,1.0144,-0.1575,0.2056
773,1.0903,0.0955,-0.1985
